no;model;tahun; harga ;transmisi;jarak_tempuh;bahan_bakar; pajak ;mpg;ukuran_mesin; harga_awal ;selisih tahun
73;Mitsubishi Pajero Sport GLX;2022;Rp522.100.000,00;Manual;354800;Diesel/Solar;Rp4.000.000,00;35;2,5;Rp450.000.000,00;1
74;Daihatsu Xenia XI VVTI;2012;Rp85.000.000,00;Manual;150000;Petrol/Gasoline/Bensin;Rp1.371.000,00;22;1;Rp140.000.000,00;11
75;Daihatsu Ayla M;2015;Rp89.000.000,00;Manual;70000;Petrol/Gasoline/Bensin;Rp1.371.000,00;22;1;Rp120.000.000,00;8
76;Toyota Agya G;2016;Rp98.000.000,00;Automatic;70000;Petrol/Gasoline/Bensin;Rp1.371.000,00;20;1;Rp120.000.000,00;7
77;Daihatsu Ayla R;2018;Rp115.000.000,00;Manual;70000;Petrol/Gasoline/Bensin;Rp2.000.000,00;25;1,2;Rp125.000.000,00;5
78;Toyota Yaris E  ;2013;Rp125.000.000,00;Manual;12000;Petrol/Gasoline/Bensin;Rp3.371.000,00;25;1,5;Rp230.500.000,00;10
79;Honda Brio E;2018;Rp191.900.000,00;Manual;70580;Petrol/Gasoline/Bensin;Rp2.000.000,00;25;1,2;Rp140.000.000,00;5
80;Toyota Calya E;2018;Rp164.700.000,00;Manual;12000;Petrol/Gasoline/Bensin;Rp2.000.000,00;22;1,2;Rp136.000.000,00;5
81;Toyota Fortuner G;2008;Rp185.000.000,00;Automatic;325421;Petrol/Gasoline/Bensin;Rp4.000.000,00;37;2,7;Rp479.500.000,00;15
82;Toyota Kijang Innova V;2011;Rp173.000.000,00;Automatic;124560;Petrol/Gasoline/Bensin;Rp4.000.000,00;30;2;Rp369.000.000,00;12
83;Honda Mobilio E;2015;Rp119.000.000,00;Automatic;94689;Petrol/Gasoline/Bensin;Rp2.867.000,00;22;1,2;Rp185.000.000,00;8
84;Honda Jazz RS;2019;Rp300.000.000,00;Manual;6432;Petrol/Gasoline/Bensin;Rp2.000.000,00;22;1,5;Rp270.000.000,00;4
